Original file,Renamed 128x128 file
Designer - 2026-09-09T145546.169.png,Siege Gunner Helm.png
Designer - 2026-09-09T145541.753.png,Duelist Jerkin.png
Designer - 2026-09-09T145540.275.png,Utility Belt.png
Designer - 2026-09-09T145534.555.png,Levitation Boots.png
Designer - 2026-09-09T145532.594.png,Skirmisher Greaves.png
Designer - 2026-09-09T145531.094.png,Wardweave Robe.png
Designer - 2026-09-09T145528.647.png,Oracle Diadem.png
Designer - 2026-09-09T145527.794.png,Commandant Helm.png
Designer - 2026-09-09T151120.192.png,Initiator's Grips.png
Designer - 2026-09-09T151102.601.png,Titan Knuckles.png
