Original file,Renamed 128x128 file
Designer (77).png,Crushing Vambraces.png
Designer (78).png,Surveyor Visor.png
Designer (79).png,Momentum Bracers.png
Designer (80).png,Vector Gloves.png
Designer (81).png,Fighter's Gauntlets.png
Designer (82).png,Staggering Fists.png
Designer (83).png,Chain-Push Bracers.png
Designer (84).png,Ram Gauntlets.png
Designer (85).png,Throwing Gloves.png
Designer (86).png,Initiator's Grips.png
Designer (87).png,Traveler Boots.png
Designer (88).png,Shockwave Gauntlets.png
Designer (89).png,Levitation Boots.png
Designer (90).png,Windrunner Boots.png
Designer (91).png,Pathfinder Boots.png
Designer (92).png,Counterforce Gloves.png
Designer (93).png,Edgefinder Gloves.png
Designer (94).png,Heavy March Boots.png
Designer (95).png,Grappler's Wraps.png
Designer (96).png,Demolition Mitts.png
