Original file,Renamed 128x128 file
Designer - 2026-09-09T000429.644.png,Skirmisher Greaves.png
Designer - 2026-09-09T000431.070.png,Climbing Boots.png
Designer (97).png,Retreat Boots.png
Designer (98).png,Portal Treads.png
Designer (99).png,Sprinter Boots.png
Designer (100).png,Relay Boots.png
Designer - 2026-09-09T000423.037.png,Firewalker Sabatons.png
Designer - 2026-09-09T000424.957.png,Ice Cleats.png
Designer - 2026-09-09T000426.644.png,Softstep Slippers.png
Designer - 2026-09-09T000428.085.png,Vanguard Greaves.png
